sale_id,invoice_id,sale_date,customer_id,product_id,quantity,unit_price,total_price,channel,store_location,payment_method
1,INV-202301-00001,2023-01-10,2588,1274,2,234.79,469.58,pood,Tallinn,kaart
2,INV-202301-00002,2023-01-16,4338,1207,2,241.13,482.26,pood,Pärnu,järelmaks
3,INV-202301-00003,2023-01-05,4673,1264,1,258.46,221.19,pood,Pärnu,järelmaks
4,INV-202301-00004,2023-01-02,4677,1341,3,45.21,135.63,pood,Tartu,sularaha
5,INV-202301-00005,2023-01-13,2390,1284,1,99.57,99.57,pood,Tartu,kaart
6,INV-202301-00006,2023-01-28,4536,1338,1,282.29,282.29,pood,Tartu,järelmaks
7,INV-202301-00007,2023-01-13,2029,1001,4,157.49,629.96,pood,Tartu,järelmaks
8,INV-202301-00008,2023-01-23,4097,1100,2,126.42,252.84,online,,kaart
9,INV-202301-00009,2023-01-07,3308,1202,1,22.04,22.04,pood,Tallinn,sularaha
10,INV-202301-00010,2023-01-08,2809,1083,1,72.14,72.14,pood,Tallinn,sularaha
11,INV-202301-00011,2023-01-12,3837,1119,3,181.68,545.04,pood,Tallinn,sularaha
12,INV-202301-00012,2023-01-09,3432,1345,2,225.81,451.62,online,,järelmaks
13,INV-202301-00013,2023-01-18,2511,1072,1,80.64,95.39,pood,Tallinn,järelmaks
14,INV-202301-00014,2023-01-01,2755,1153,4,79.59,318.36,pood,Tallinn,sularaha
15,INV-202301-00015,2023-01-05,3076,1018,1,47.07,47.07,pood,Pärnu,kaart
16,INV-202301-00016,2023-01-11,3357,1050,1,145.72,145.72,pood,Tallinn,järelmaks
17,INV-202301-00017,2023-01-16,4219,1168,1,316.04,316.04,pood,Tartu,kaart
18,INV-202301-00018,2023-01-03,3990,1164,1,179.35,179.35,pood,Tartu,sularaha
19,INV-202301-00019,2023-01-23,3585,1106,3,47.88,143.64,online,,sularaha
20,INV-202301-00020,2023-01-06,2539,1042,2,347.84,695.68,pood,Tallinn,kaart
21,INV-202301-00021,2023-01-27,,1203,3,17.97,53.91,pood,Tallinn,sularaha
22,INV-202301-00022,2023-01-17,3342,1303,2,312.41,624.82,online,,kaart
23,INV-202301-00023,2023-01-06,4541,1045,2,176.65,353.3,online,,järelmaks
24,INV-202301-00024,2023-01-20,4740,1113,1,86.46,-86.46,online,,kaart
25,INV-202301-00025,2023-01-17,3475,1281,1,292.61,292.61,pood,Pärnu,järelmaks
26,INV-202301-00026,2023-01-11,4167,1012,1,160.21,160.21,pood,Tallinn,sularaha
27,INV-202301-00027,2023-01-19,4229,1088,1,100.57,100.57,pood,Tartu,järelmaks
28,INV-202301-00028,2023-01-28,3458,1148,1,48.85,48.85,pood,Pärnu,kaart
29,INV-202301-00029,2023-01-20,4924,1014,1,121.78,147.58,pood,Pärnu,järelmaks
30,INV-202301-00030,2023-01-21,3761,1206,1,22.7,22.7,pood,Tartu,sularaha
31,INV-202301-00031,2023-01-31,2120,1341,1,45.21,45.21,pood,Tartu,järelmaks
32,INV-202301-00032,2023-01-22,2423,1188,2,184.07,368.14,pood,Tallinn,järelmaks
33,INV-202301-00033,2023-01-08,2331,1084,2,156.13,312.26,pood,Tallinn,järelmaks
34,INV-202301-00034,2023-01-31,,1033,1,221.42,221.42,online,,kaart
35,INV-202301-00035,2023-01-04,2339,1347,2,246.97,493.94,pood,Tallinn,kaart
36,INV-202301-00036,2023-01-15,2285,1288,2,138.9,277.8,pood,Tallinn,kaart
37,INV-202301-00037,2023-01-23,4867,1155,1,209.05,209.05,online,,kaart
38,INV-202301-00038,2023-01-16,4145,1099,1,86.8,86.8,pood,Tartu,järelmaks
39,INV-202301-00039,2023-01-16,3629,1013,2,218.99,437.98,pood,Tallinn,kaart
40,INV-202301-00040,2023-01-29,4893,1243,2,184.02,368.04,online,,sularaha
41,INV-202301-00041,2023-01-07,4239,1305,4,50.77,203.08,pood,Tallinn,sularaha
42,INV-202301-00042,2023-01-22,,1260,2,130.36,260.72,pood,Tallinn,sularaha
43,INV-202301-00043,2023-01-19,2247,1064,1,95.87,95.87,pood,Tallinn,sularaha
44,INV-202301-00044,2023-01-26,4612,1060,1,253.26,253.26,online,,järelmaks
45,INV-202301-00045,2023-01-08,4150,1258,3,84.41,253.23,pood,Tartu,järelmaks
46,INV-202301-00046,2023-01-14,3648,1104,2,191.48,382.96,online,,sularaha
47,INV-202301-00047,2023-01-07,3457,1345,1,225.81,225.81,pood,Tallinn,sularaha
48,INV-202301-00048,2023-01-01,3514,1065,1,48.58,48.58,pood,Tallinn,järelmaks
49,INV-202301-00049,2023-01-12,4755,1221,1,350.19,350.19,online,,järelmaks
50,INV-202301-00050,2023-01-28,2025,1092,1,144.2,144.2,pood,Tallinn,sularaha
51,INV-202301-00051,2023-01-07,3493,1247,1,29.48,29.48,pood,Tallinn,sularaha
52,INV-202301-00052,2023-01-15,2574,1340,4,229.01,916.04,online,,kaart
53,INV-202301-00053,2023-01-02,2927,1238,2,72.73,145.46,pood,Tallinn,sularaha
54,INV-202301-00054,2023-01-06,3764,1153,1,79.59,79.59,online,,kaart
55,INV-202301-00055,2023-01-22,,1084,2,156.13,312.26,online,,järelmaks
56,INV-202301-00056,2023-01-28,4517,1333,1,218.54,218.54,pood,Tallinn,järelmaks
57,INV-202301-00057,2023-01-31,2317,1136,2,94.25,188.5,online,,sularaha
58,INV-202301-00058,2023-01-19,4206,1350,1,270.69,270.69,pood,Pärnu,kaart
59,INV-202301-00059,2023-01-14,4490,1228,5,160.71,803.55,pood,Tallinn,järelmaks
60,INV-202301-00060,2023-01-18,3633,1272,1,183.31,183.31,pood,Tartu,sularaha
61,INV-202301-00061,2023-01-10,3123,1055,1,65.6,65.6,online,,sularaha
62,INV-202301-00062,2023-01-16,3530,1350,1,270.69,270.69,online,,kaart
63,INV-202301-00063,2023-01-09,4542,1213,2,132.3,264.6,pood,Tartu,järelmaks
64,INV-202301-00064,2023-01-30,2638,1311,1,153.11,153.11,pood,Tallinn,järelmaks
65,INV-202301-00065,2023-01-14,2767,1275,1,62.82,62.82,pood,Tartu,järelmaks
66,INV-202301-00066,2023-01-03,2017,1189,1,58.49,58.49,pood,Tallinn,järelmaks
67,INV-202301-00067,2023-01-14,3163,1075,3,278.59,835.77,online,,järelmaks
68,INV-202301-00068,2023-01-22,3452,1002,1,274.78,274.78,online,,järelmaks
69,INV-202301-00069,2023-01-01,2230,1050,1,145.72,145.72,pood,Tartu,järelmaks
70,INV-202301-00070,2023-01-20,4255,1240,1,356.57,356.57,pood,Tallinn,kaart
71,INV-202301-00071,2023-01-31,2734,1119,2,181.68,363.36,online,,järelmaks
72,INV-202301-00072,2023-01-29,3953,1023,2,38.7,77.4,pood,Tallinn,sularaha
73,INV-202301-00073,2023-01-18,3789,1183,2,231.13,462.26,pood,Pärnu,kaart
74,INV-202301-00074,2023-01-02,,1204,1,63.95,63.95,pood,Pärnu,kaart
75,INV-202301-00075,2023-01-05,4454,1290,4,105.23,420.92,online,,sularaha
76,INV-202301-00076,2023-01-26,2755,1259,4,229.55,918.2,online,,kaart
77,INV-202301-00077,2023-01-04,4178,1275,3,62.82,188.46,online,,sularaha
78,INV-202301-00078,2023-01-09,,1274,3,234.79,704.37,pood,Tartu,kaart
79,INV-202301-00079,2023-01-02,4896,1289,2,171.33,342.66,pood,Tallinn,sularaha
80,INV-202301-00080,2023-01-17,4259,1053,1,113.86,113.86,pood,Tartu,sularaha
81,INV-202301-00081,2023-01-18,3011,1156,1,221.89,221.89,online,,järelmaks
82,INV-202301-00082,2023-01-11,3251,1001,2,157.49,314.98,pood,Tallinn,järelmaks
83,INV-202301-00083,2023-01-02,4624,1198,2,291.72,583.44,pood,Tallinn,kaart
84,INV-202301-00084,2023-01-28,4952,1160,1,368.67,368.67,pood,Tallinn,järelmaks
85,INV-202301-00085,2023-01-04,2609,1243,1,184.02,184.02,pood,Pärnu,sularaha
86,INV-202301-00086,2023-01-29,2890,1118,1,109.42,109.42,pood,Pärnu,järelmaks
87,INV-202301-00087,2023-01-07,2677,1070,1,139.74,139.74,pood,Tallinn,kaart
88,INV-202301-00088,2023-01-04,4001,1082,2,100.93,201.86,pood,Tallinn,kaart
89,INV-202301-00089,2023-01-31,2889,1275,2,62.82,125.64,pood,Tallinn,kaart
90,INV-202301-00090,2023-01-09,2206,1200,2,105.29,210.58,pood,Pärnu,kaart
91,INV-202301-00091,2023-01-15,4238,1107,2,279.43,558.86,pood,Tartu,järelmaks
92,INV-202301-00092,2023-01-29,2704,1142,2,307.27,614.54,pood,Tallinn,järelmaks
93,INV-202301-00093,2023-01-24,4131,1003,2,52.04,104.08,pood,Tallinn,järelmaks
94,INV-202301-00094,2023-01-28,3261,1319,1,290.55,290.55,pood,Pärnu,sularaha
95,INV-202301-00095,2023-01-03,4000,1227,2,120.17,240.34,online,,järelmaks
96,INV-202301-00096,2023-01-21,3605,1071,1,237.71,237.71,online,,kaart
97,INV-202301-00097,2023-01-20,4597,1312,3,243.93,731.79,pood,Tartu,kaart
98,INV-202301-00098,2023-01-03,2472,1034,1,207.23,207.23,pood,Tartu,järelmaks
99,INV-202301-00099,2023-01-08,4264,1080,1,51.5,51.5,pood,Tallinn,sularaha
100,INV-202301-00100,2023-01-24,3350,1136,2,94.25,188.5,pood,Tallinn,järelmaks
101,INV-202301-00101,2023-01-10,2668,1040,1,96.11,96.11,pood,Tartu,järelmaks
102,INV-202301-00102,2023-01-24,3648,1350,1,270.69,270.69,online,,kaart
103,INV-202301-00103,2023-01-23,4276,1155,1,209.05,209.05,pood,Tallinn,järelmaks
104,INV-202301-00104,2023-01-24,4217,1337,2,272.05,544.1,pood,Tallinn,järelmaks
105,INV-202301-00105,2023-01-04,2396,1138,2,130.73,261.46,pood,Tallinn,sularaha
106,INV-202301-00106,2023-01-03,3767,1277,1,121.51,121.51,pood,Tartu,kaart
107,INV-202301-00107,2023-01-10,3837,1108,1,371.05,371.05,pood,Tallinn,sularaha
108,INV-202301-00108,2023-01-08,3398,1139,1,106.71,106.71,pood,Tallinn,kaart
109,INV-202301-00109,2023-01-28,2735,1246,1,204.87,204.87,online,,sularaha
110,INV-202301-00110,2023-01-10,3119,1289,1,171.33,171.33,online,,kaart
111,INV-202301-00111,2023-01-31,3556,1256,1,296.4,296.4,pood,Tallinn,sularaha
112,INV-202301-00112,2023-01-06,3165,1170,1,158.51,158.51,pood,Tartu,järelmaks
113,INV-202301-00113,2023-01-08,2095,1295,1,375.34,375.34,online,,järelmaks
114,INV-202301-00114,2023-01-25,2304,1283,1,188.91,188.91,pood,Tallinn,järelmaks
115,INV-202301-00115,2023-01-12,2759,1032,2,198.42,396.84,pood,Tallinn,järelmaks
116,INV-202301-00116,2023-01-01,2441,1223,4,319.98,1279.92,pood,Tallinn,järelmaks
117,INV-202301-00117,2023-01-29,2070,1109,2,116.2,232.4,pood,Tallinn,sularaha
118,INV-202301-00118,2023-01-19,2439,1152,1,107.67,107.67,pood,Tallinn,järelmaks
119,INV-202301-00119,2023-01-31,4312,1047,1,155.84,155.84,pood,Tallinn,sularaha
120,INV-202301-00120,2023-01-04,3556,1114,1,74.7,74.7,pood,Tallinn,sularaha
121,INV-202301-00121,2023-01-29,,1103,5,173.62,868.1,online,,sularaha
122,INV-202301-00122,2023-01-02,,1135,4,175.25,701,pood,Tartu,sularaha
123,INV-202301-00123,2023-01-26,4105,1172,2,141.62,283.24,pood,Tallinn,sularaha
124,INV-202301-00124,2023-01-17,4206,1055,5,65.6,328,pood,Pärnu,sularaha
125,INV-202301-00125,2023-01-30,4141,1017,2,153.62,307.24,pood,Tallinn,järelmaks
126,INV-202301-00126,2023-01-20,,1146,1,31.65,31.65,online,,sularaha
127,INV-202301-00127,2023-01-17,4372,1214,1,250.17,250.17,pood,Pärnu,järelmaks
128,INV-202301-00128,2023-01-27,3899,1178,1,105.09,105.09,pood,Tallinn,sularaha
129,INV-202301-00129,2023-01-14,,1329,2,110.02,220.04,online,,kaart
130,INV-202301-00130,2023-01-31,,1034,2,207.23,414.46,online,,järelmaks
131,INV-202301-00131,2023-01-14,4315,1160,2,368.67,737.34,pood,Tartu,kaart
132,INV-202301-00132,2023-01-19,2635,1187,2,252.33,504.66,pood,Tallinn,sularaha
133,INV-202301-00133,2023-01-28,2272,1225,1,116.87,116.87,pood,Pärnu,järelmaks
134,INV-202301-00134,2023-01-20,4146,1217,2,34.04,68.08,online,,kaart
135,INV-202301-00135,2023-01-02,4220,1240,1,356.57,356.57,pood,Tallinn,sularaha
136,INV-202301-00136,2023-01-21,2930,1290,3,105.23,315.69,pood,Tartu,järelmaks
137,INV-202301-00137,2023-01-22,3556,1153,1,79.59,79.59,pood,Tartu,järelmaks
138,INV-202301-00138,2023-01-16,2377,1129,1,182.77,182.77,pood,Pärnu,järelmaks
139,INV-202301-00139,2023-01-26,2202,1049,1,308.84,-308.84,online,,sularaha
140,INV-202301-00140,25/01/2023,3128,1187,2,252.33,504.66,pood,Tallinn,järelmaks
141,INV-202301-00141,2023-01-14,4444,1330,3,167.23,501.69,pood,Pärnu,järelmaks
142,INV-202301-00142,2023-01-11,3525,1154,2,190.81,381.62,pood,Tallinn,järelmaks
143,INV-202301-00143,2023-01-14,2980,1136,3,94.25,282.75,online,,sularaha
144,INV-202301-00144,2023-01-07,3446,1009,5,332.55,1662.75,pood,Tallinn,järelmaks
145,INV-202301-00145,2023-01-07,3240,1215,3,160.91,482.73,pood,Tallinn,kaart
146,INV-202301-00146,2023-01-02,2652,1327,2,110.7,221.4,pood,Tallinn,kaart
147,INV-202301-00147,2023-01-17,3249,1274,3,234.79,704.37,pood,Tallinn,sularaha
148,INV-202301-00148,2023-01-09,3995,1272,1,183.31,183.31,pood,Tartu,kaart
149,INV-202301-00149,2023-01-05,2597,1332,1,81.85,81.85,online,,järelmaks
150,INV-202301-00150,2023-01-18,3429,1216,1,273.06,273.06,online,,kaart
151,INV-202301-00151,2023-01-03,3924,1157,2,91.22,182.44,online,,sularaha
152,INV-202301-00152,2023-01-01,3556,1128,3,321.68,823.5,pood,Pärnu,kaart
153,INV-202301-00153,2023-01-18,4833,1277,2,121.51,243.02,pood,Tallinn,sularaha
154,INV-202301-00154,2023-01-21,2997,1209,5,252.1,1260.5,online,,järelmaks
155,INV-202301-00155,2023-01-22,2761,1035,1,65.52,65.52,pood,Pärnu,sularaha
156,INV-202301-00156,2023-01-01,4288,1204,1,63.95,63.95,pood,Tallinn,kaart
157,INV-202301-00157,2023-01-05,3648,1338,1,282.29,282.29,pood,Tartu,järelmaks
158,INV-202301-00158,2023-01-18,3692,1143,1,307.83,307.83,pood,Tartu,järelmaks
